country,gender,school_type,math_score,reading_score,science_score,education_father,education_mother,education_parents,family_structure,immigration_status
133267,Germany,Male,Middle school,457.3999,384.1134,455.5576,"ISCED 5A, 6","ISCED 5A, 6","ISCED 5A, 6",Both parents,Native
133268,Germany,Female,Middle school,363.3043,383.5763,401.8463,ISCED 2,ISCED 2,ISCED 2,Both parents,Native
133269,Germany,Male,Middle school,465.5009,461.8219,538.8288,"ISCED 5A, 6","ISCED 5A, 6","ISCED 5A, 6",Single father/mother,Native
133270,Germany,Male,Middle school,577.9015,524.3736,579.765,ISCED 2,ISCED 2,ISCED 2,Both parents,Native
133271,Germany,Male,Middle school,454.5178,419.6396,473.4614,"ISCED 3A, ISCED 4",None,"ISCED 3A, ISCED 4",Both parents,Native
133272,Germany,Male,Middle school,427.0992,440.2496,508.6162,ISCED 5B,"ISCED 3A, ISCED 4",ISCED 5B,Both parents,Native
133273,Germany,Male,Integrated school,515.1192,487.00300000000004,529.4107,"ISCED 3A, ISCED 4","ISCED 3A, ISCED 4","ISCED 3A, ISCED 4",Both parents,Native
133274,Germany,Male,Middle school,566.5291,500.3955,607.0869,"ISCED 3B, C","ISCED 3B, C","ISCED 3B, C",Single father/mother,Native
133276,Germany,Female,Middle school,481.54699999999997,473.5716,500.5035,"ISCED 3A, ISCED 4","ISCED 3A, ISCED 4","ISCED 3A, ISCED 4",Both parents,Native
133277,Germany,Male,Middle school,537.7084,489.4088,513.5584,ISCED 2,"ISCED 3A, ISCED 4","ISCED 3A, ISCED 4",Both parents,Native
133278,Germany,Female,Middle school,566.4512,632.4337,608.4856,"ISCED 3B, C","ISCED 3B, C","ISCED 3B, C",Single father/mother,Native
133279,Germany,Male,Middle school,441.9769,459.2557,522.1373,ISCED 5B,"ISCED 3A, ISCED 4",ISCED 5B,Both parents,Native
133280,Germany,Male,Integrated school,394.6175,388.043,471.6897,"ISCED 3B, C",ISCED 2,"ISCED 3B, C",Single father/mother,Native
133281,Germany,Male,Middle school,481.6249,458.6943,494.6289,ISCED 5B,"ISCED 3A, ISCED 4",ISCED 5B,Both parents,Native
133282,Germany,Male,High school,595.9729,550.3567,645.9717,ISCED 2,"ISCED 3A, ISCED 4","ISCED 3A, ISCED 4",Both parents,Native
133283,Germany,Male,High school,621.1326,550.7576,608.5789,"ISCED 5A, 6",ISCED 5B,"ISCED 5A, 6",Both parents,Native
133284,Germany,Male,High school,722.005,663.1101,728.9631,ISCED 5B,"ISCED 3B, C",ISCED 5B,Both parents,Native
133285,Germany,Male,High school,614.5116,627.0226,667.4189,"ISCED 5A, 6","ISCED 5A, 6","ISCED 5A, 6",Single father/mother,Native
133286,Germany,Female,High school,632.6609,680.0923,711.9918,"ISCED 3A, ISCED 4","ISCED 3A, ISCED 4","ISCED 3A, ISCED 4",Both parents,Native
133287,Germany,Female,High school,485.5974,565.5527,565.6844,ISCED 2,ISCED 2,ISCED 2,Both parents,Native
133288,Germany,Male,High school,606.2549,577.6228,653.4316,"ISCED 5A, 6","ISCED 3A, ISCED 4","ISCED 5A, 6",Single father/mother,Native
133289,Germany,Male,High school,652.2901,611.7055,648.6759,ISCED 5B,ISCED 2,ISCED 5B,Both parents,Native
133290,Germany,Female,High school,477.10699999999997,511.9368,568.5752,"ISCED 3A, ISCED 4","ISCED 3A, ISCED 4","ISCED 3A, ISCED 4",Both parents,Native
